month_name,Mo,Country,Department,Employee_number,Employment_Date_Start,termination date,Title,First_Name,Last_Name,Job Title,Gender,Person_Type,per_type,Perm,StartDate,Company,Supervisor number,Supervisor Name
Jan-15,1,Algeria,Support,C00045,1/21/2013,NULL,Mr,Khaled,Boumediene,Support Specialist,M,External,Agency,Non P,1/1/2015,Support Team Algeria,C00008,Miss Amalia Alexandru
Jan-15,1,Algeria,Support,C00051,3/18/2013,NULL,Mr,Rachid,Taha,Head of Support,M,External,Consultant Third Party,Non P,1/1/2015,Legal Team Algeria,E00163,Miss Natalia Zasoba
Jan-15,1,Austria,Analytics,C00001,8/1/2005,NULL,Mr,Johannes,Steinfeld,Head of Analytics,M,External,Consultant Direct,Non P,1/1/2015,Analytics Team Austria,C00086,Miss Julia Steiner
Jan-15,1,Austria,CEO,C00071,2/14/2007,NULL,Dr,Maximilian,Wagner,SVP Operations,M,External,Consultant Third Party,Non P,1/1/2015,CEO Team Austria,E00166,Mr Nicholas Guillaud
Jan-15,1,Austria,CEO,C00086,6/5/2013,NULL,Miss,Julia,Steiner,SVP IT,F,External,Consultant Third Party,Non P,1/1/2015,CEO Team Austria,E00199,Mr Saadane Benoumessad
Jan-15,1,Austria,CRM,E00033,8/15/2006,NULL,Miss,Natalia,Kostulski,Head of CRM,F,Internal,Employee / Permanent,Permanent,1/1/2015,CRM Team Austria,C00071,Dr Maximilian Wagner
Jan-15,1,Austria,Customer Services,E00014,4/1/2012,NULL,Mr,Stan,Lee,Head of Customer Services,M,Internal,Employee / Permanent,Permanent,1/1/2015,CS Team Austria,C00071,Dr Maximilian Wagner
Jan-15,1,Austria,HR,E00048,3/1/2013,NULL,Mr,Tobias,Huber,Head of HR,M,Internal,Employee / Permanent,Permanent,1/1/2015,HR Team Austria,C00071,Dr Maximilian Wagner
Jan-15,1,Austria,Legal,E00004,10/19/2005,NULL,Mr,Stefan,Kuhne,Legal Advisor,M,Internal,Employee / Permanent,Permanent,1/1/2015,Legal Team Austria,E00016,Mr Sam Mitchell
Jan-15,1,Austria,Legal,E00016,2/5/2008,NULL,Mr,Sam,Mitchell,Head of Legal,M,Internal,Employee / Permanent,Permanent,1/1/2015,Legal Team Austria,C00071,Dr Maximilian Wagner
Jan-15,1,Austria,Legal,E00044,10/1/2006,NULL,Mrs,Katja,Gruber,Senior Legal Advisor,F,Internal,Employee / Permanent,Permanent,1/1/2015,Legal Team Austria,E00016,Mr Sam Mitchell
Jan-15,1,Austria,Legal,C00106,4/16/2008,NULL,Mrs,Katharina,Mayer,Legal Advisor,F,External,Consultant Direct,Non P,1/1/2015,Legal Team Austria,C00135,Miss Victoria Leitner
Jan-15,1,Austria,Legal,C00135,2/26/2000,NULL,Miss,Victoria,Leitner,Senior Legal Advisor,F,Freelancer,Freelancer,Non P,1/1/2015,Legal Team Austria,E00016,Mr Sam Mitchell
Jan-15,1,Austria,Legal,C00136,3/14/2003,NULL,Miss,Lena,Hofer,Legal Advisor,F,Freelancer,Freelancer,Non P,1/1/2015,Legal Team Austria,E00137,Miss Pia Berger
Jan-15,1,Austria,Legal,E00138,12/15/2003,NULL,Mrs,Ramona,Fuchs,Legal Advisor,F,Internal,Employee / Permanent,Permanent,1/1/2015,Legal Team Austria,E00137,Miss Pia Berger
